State,County,2024R,2024D,2024O,2024TOT,2024RPCT,2024DPCT,2024OPCT,2020R,2020D,2020O,2020TOT,2020RPCT,2020DPCT,2020OPCT,2020POP,2010POP,Urban20,Rural20,White20,Hispanic20,Black20,Asian20,Native20,Pacific20
Alabama,Autauga,20484,7439,358,28281,72.43%,26.30%,1.27%,19838,7503,429,27770,71.44%,27.02%,1.54%,58805,54571,59.32%,40.68%,41582,2117,12266,1360,1426,115
Alabama,Baldwin,95798,24934,1517,122249,78.36%,20.40%,1.24%,83544,24578,1557,109679,76.17%,22.41%,1.42%,231767,182265,62.41%,37.59%,186495,12686,20913,3498,6861,354
Alabama,Barbour,5606,4158,91,9855,56.88%,42.19%,0.92%,5622,4816,80,10518,53.45%,45.79%,0.76%,25223,27457,34.08%,65.92%,11086,1510,12261,152,362,13
Alabama,Bibb,7572,1619,66,9257,81.80%,17.49%,0.71%,7525,1986,84,9595,78.43%,20.70%,0.87%,22293,22915,0.00%,100.00%,16442,740,4643,56,430,18
Alabama,Blount,25354,2576,233,28163,90.03%,9.15%,0.83%,24711,2640,237,27588,89.57%,9.57%,0.86%,59134,57322,9.51%,90.49%,49764,5771,1250,358,1826,66
Alabama,Bullock,1101,2983,27,4111,26.78%,72.56%,0.66%,1146,3446,21,4613,24.84%,74.70%,0.46%,10357,10914,0.00%,100.00%,2281,503,7492,28,138,18
Alabama,Butler,5172,3251,57,8480,60.99%,38.34%,0.67%,5458,3965,65,9488,57.53%,41.79%,0.68%,19051,20947,30.57%,69.43%,9679,260,8742,197,223,29
Alabama,Calhoun,34912,13194,547,48653,71.76%,27.12%,1.12%,35101,15216,666,50983,68.85%,29.85%,1.30%,116441,118572,63.51%,36.49%,79519,5010,27445,1753,2783,233
Alabama,Chambers,8711,5405,129,14245,61.15%,37.94%,0.91%,8753,6365,166,15284,57.27%,41.64%,1.09%,34772,34215,49.26%,50.74%,18616,1237,14009,483,518,39
Alabama,Cherokee,11358,1553,95,13006,87.33%,11.94%,0.73%,10583,1624,94,12301,86.03%,13.20%,0.77%,24971,25989,0.00%,100.00%,22563,400,1219,98,604,25
Alabama,Chilton,16920,2698,145,19763,85.61%,13.65%,0.73%,16085,3073,152,19310,83.30%,15.91%,0.79%,45014,43643,14.46%,85.54%,34878,4418,4537,262,1041,25
Alabama,Choctaw,4103,2515,38,6656,61.64%,37.79%,0.57%,4296,3127,41,7464,57.56%,41.89%,0.55%,12665,13859,0.00%,100.00%,7039,113,5358,45,139,6
Alabama,Clarke,6965,4927,66,11958,58.25%,41.20%,0.55%,7324,5755,56,13135,55.76%,43.81%,0.43%,23087,25833,0.00%,100.00%,11970,206,10514,141,295,13
Alabama,Clay,5734,993,40,6767,84.73%,14.67%,0.59%,5601,1267,62,6930,80.82%,18.28%,0.90%,14236,13932,0.00%,100.00%,11261,449,2204,83,294,21
Alabama,Cleburne,6988,605,58,7651,91.33%,7.91%,0.76%,6484,675,68,7227,89.72%,9.34%,0.94%,15056,14972,0.00%,100.00%,13740,284,556,53,416,17
Alabama,Coffee,17495,4601,223,22319,78.39%,20.61%,1.00%,16899,5076,300,22275,75.87%,22.79%,1.34%,53465,49948,52.47%,47.53%,35789,4887,9834,1460,2045,186
Alabama,Colbert,19714,7137,309,27160,72.58%,26.28%,1.14%,19203,8343,340,27886,68.86%,29.92%,1.22%,57227,54428,59.70%,40.30%,43241,1732,10135,571,1470,32
Alabama,Conecuh,3423,2580,48,6051,56.57%,42.64%,0.79%,3442,2966,33,6441,53.44%,46.05%,0.51%,11597,13228,0.00%,100.00%,5835,256,5236,72,245,20
Alabama,Coosa,3758,1478,32,5268,71.34%,28.06%,0.61%,3631,1796,52,5479,66.27%,32.78%,0.95%,10387,11539,0.00%,100.00%,6807,201,3168,25,203,13
Alabama,Covington,14677,2314,104,17095,85.86%,13.54%,0.61%,14586,2721,123,17430,83.68%,15.61%,0.71%,37570,37765,31.18%,68.82%,30657,654,5088,340,782,25
Alabama,Crenshaw,5000,1457,29,6486,77.09%,22.46%,0.45%,4864,1700,53,6617,73.51%,25.69%,0.80%,13194,13906,0.00%,100.00%,9333,187,3360,113,212,13
Alabama,Cullman,38704,4039,403,43146,89.70%,9.36%,0.93%,36880,4478,493,41851,88.12%,10.70%,1.18%,87866,80406,24.40%,75.60%,78298,4146,1408,756,2792,139
Alabama,Dale,14476,4484,179,19139,75.64%,23.43%,0.94%,14303,5170,265,19738,72.46%,26.19%,1.35%,49326,50251,49.55%,50.45%,32602,3254,11239,1099,1364,166
Alabama,Dallas,5190,10236,121,15547,33.38%,65.84%,0.78%,5524,12230,110,17864,30.92%,68.46%,0.62%,38462,43820,55.14%,44.86%,10363,296,27497,168,307,40
Alabama,DeKalb,25633,3758,269,29660,86.42%,12.67%,0.91%,24767,4281,308,29356,84.37%,14.58%,1.05%,71608,71109,11.70%,88.30%,54529,11744,1595,408,4631,64
Alabama,Elmore,31374,9774,476,41624,75.37%,23.48%,1.14%,30164,10367,499,41030,73.52%,25.27%,1.21%,87977,79303,28.76%,71.24%,62540,2793,19305,1112,2032,110
Alabama,Escambia,10884,3964,109,14957,72.77%,26.50%,0.73%,10869,4918,123,15910,68.32%,30.91%,0.77%,36757,38319,34.72%,65.28%,22004,751,11571,200,2332,48
Alabama,Etowah,35653,10027,457,46137,77.28%,21.73%,0.99%,35528,11567,633,47728,74.44%,24.24%,1.32%,103436,104430,56.83%,43.17%,77731,4895,16762,1232,3111,96
Alabama,Fayette,7158,1142,69,8369,85.53%,13.65%,0.82%,7300,1395,71,8766,83.28%,15.91%,0.81%,16321,17241,0.00%,100.00%,13552,396,1961,88,348,17
Alabama,Franklin,10417,1568,112,12097,86.11%,12.96%,0.93%,10376,2086,116,12578,82.49%,16.58%,0.93%,32113,31704,30.95%,69.05%,23581,6259,1475,121,1244,47
Alabama,Geneva,10929,1391,81,12401,88.13%,11.22%,0.65%,10848,1595,102,12545,86.47%,12.71%,0.82%,26659,26790,0.56%,99.44%,21654,1296,2727,158,885,42
Alabama,Greene,885,3133,21,4039,21.91%,77.57%,0.52%,875,3884,16,4775,18.32%,81.34%,0.34%,7730,9045,0.00%,100.00%,1285,61,6354,23,47,5
Alabama,Hale,3369,3868,68,7305,46.12%,52.95%,0.93%,3192,4663,45,7900,40.41%,59.03%,0.56%,14785,15760,0.00%,100.00%,5972,149,8533,66,138,37
Alabama,Henry,6989,2263,68,9320,74.99%,24.28%,0.73%,6607,2606,85,9298,71.06%,28.03%,0.91%,17146,17302,0.00%,100.00%,11842,334,4445,159,318,23
Alabama,Houston,32469,11352,528,44349,73.21%,25.60%,1.19%,32618,12917,638,46173,70.64%,27.98%,1.38%,107202,101547,65.68%,34.32%,68251,4481,30210,1932,2528,190
Alabama,Jackson,20073,3276,207,23556,85.21%,13.91%,0.88%,19670,3717,249,23636,83.22%,15.73%,1.05%,52579,53227,24.69%,75.31%,45123,1681,2181,354,3160,37
Alabama,Jefferson,131123,162112,5469,298704,43.90%,54.27%,1.83%,138843,181688,5317,325848,42.61%,55.76%,1.63%,674721,658466,87.93%,12.07%,324252,34856,289515,16321,11527,830
Alabama,Lamar,6033,806,51,6890,87.56%,11.70%,0.74%,6174,978,41,7193,85.83%,13.60%,0.57%,13972,14564,0.00%,100.00%,11924,208,1623,31,166,10
Alabama,Lauderdale,32708,10326,603,43637,74.95%,23.66%,1.38%,31721,11915,703,44339,71.54%,26.87%,1.59%,93564,92709,47.84%,52.16%,76491,3078,10460,1116,2348,110
Alabama,Lawrence,13024,2983,115,16122,80.78%,18.50%,0.71%,12322,3562,147,16031,76.86%,22.22%,0.92%,33073,34339,0.01%,99.99%,24714,895,3672,196,3604,43
Alabama,Lee,46020,25798,1309,73127,62.93%,35.28%,1.79%,42221,27860,1368,71449,59.09%,38.99%,1.92%,174241,140247,73.61%,26.39%,109795,9135,42011,10023,3672,303
Alabama,Limestone,37887,14581,864,53332,71.04%,27.34%,1.62%,34640,13672,923,49235,70.36%,27.77%,1.87%,103570,82782,48.99%,51.01%,75692,7248,14937,2663,3127,203
Alabama,Lowndes,1758,3867,30,5655,31.09%,68.38%,0.53%,1836,4972,27,6835,26.86%,72.74%,0.40%,10311,11299,0.00%,100.00%,2807,140,7336,43,86,10
Alabama,Macon,1682,6084,68,7834,21.47%,77.66%,0.87%,1541,7108,74,8723,17.67%,81.49%,0.84%,19532,21452,46.09%,53.91%,3187,361,15792,97,267,35
Alabama,Madison,105430,87824,4363,197617,53.35%,44.44%,2.21%,102780,87286,4701,194767,52.77%,44.82%,2.41%,388153,334811,82.90%,17.10%,237497,24936,99875,15003,12818,1120
Alabama,Marengo,4995,4631,56,9682,51.59%,47.83%,0.58%,5343,5488,69,10900,49.02%,50.35%,0.63%,19323,21027,32.23%,67.77%,8375,368,10400,83,174,14
Alabama,Marion,12245,1197,101,13543,90.42%,8.84%,0.75%,12205,1463,139,13807,88.40%,10.60%,1.00%,29341,30776,0.00%,100.00%,26093,863,1453,159,739,22
