county_fips,Population 2020
1000,"5,024,279"
1001,"58,805"
1003,"231,767"
1005,"25,223"
1007,"22,293"
1009,"59,134"
1011,"10,357"
1013,"19,051"
1015,"116,441"
1017,"34,772"
1019,"24,971"
1021,"45,014"
1023,"12,665"
1025,"23,087"
1027,"14,236"
1029,"15,056"
1031,"53,465"
1033,"57,227"
1035,"11,597"
1037,"10,387"
1039,"37,570"
1041,"13,194"
1043,"87,866"
1045,"49,326"
1047,"38,462"
1049,"71,608"
1051,"87,977"
1053,"36,757"
1055,"103,436"
1057,"16,321"
1059,"32,113"
1061,"26,659"
1063,"7,730"
1065,"14,785"
1067,"17,146"
1069,"107,202"
1071,"52,579"
1073,"674,721"
1075,"13,972"
1077,"93,564"
1079,"33,073"
1081,"174,241"
1083,"103,570"
1085,"10,311"
1087,"19,532"
1089,"388,153"
1091,"19,323"
1093,"29,341"
1095,"97,612"
1097,"414,809"
1099,"19,772"
1101,"228,954"
1103,"123,421"
1105,"8,511"
1107,"19,123"
1109,"33,009"
1111,"21,967"
1113,"59,183"
1115,"91,103"
1117,"223,024"
1119,"12,345"
1121,"82,149"
1123,"41,311"
1125,"227,036"
1127,"65,342"
1129,"15,388"
1131,"10,600"
1133,"23,540"
2000,"733,391"
2013,"3,420"
2016,"5,232"
2020,"291,247"
2050,"18,666"
2060,844
2063,"7,102"
2066,"2,617"
2068,"1,619"
2070,"4,857"
2090,"95,655"
2100,"2,080"
2105,"2,365"
2110,"32,255"
2122,"58,799"
2130,"13,948"
2150,"13,101"
2158,"8,368"
2164,"1,476"
2170,"107,081"
2180,"10,046"
2185,"11,031"
2188,"7,793"
2195,"3,398"
2198,"5,753"
2201,
2220,"8,458"
2230,"1,240"
2232,
2240,"6,808"
2261,
2275,"2,127"
2280,
2282,662
2290,"5,343"
4000,"7,151,502"
4001,"66,021"
4003,"125,447"
4005,"145,101"
4007,"53,272"
4009,"38,533"
4011,"9,563"
4012,"16,557"
4013,"4,420,568"
4015,"213,267"
4017,"106,717"
4019,"1,043,433"
4021,"425,264"
4023,"47,669"
4025,"236,209"
4027,"203,881"
5000,"3,011,524"
5001,"17,149"
5003,"19,062"
5005,"41,627"
5007,"284,333"
5009,"37,373"
5011,"10,545"
5013,"4,739"
5015,"28,260"
5017,"10,208"
5019,"21,446"
5021,"14,552"
5023,"24,711"
5025,"7,550"
5027,"22,801"
5029,"20,715"
5031,"111,231"
5033,"60,133"
5035,"48,163"
5037,"16,833"
5039,"6,482"
5041,"11,395"
5043,"17,350"
5045,"123,498"
5047,"17,097"
5049,"12,075"
5051,"100,180"
5053,"17,958"
5055,"45,736"
5057,"20,065"
5059,"33,040"
5061,"12,785"
5063,"37,938"
5065,"13,577"
5067,"16,755"
5069,"67,260"
5071,"25,749"
5073,"6,308"
5075,"16,216"
5077,"8,600"
5079,"12,941"
5081,"12,026"
5083,"21,131"
5085,"74,015"
5087,"16,521"
5089,"16,826"
5091,"42,600"
5093,"40,685"
5095,"6,799"
5097,"8,484"
5099,"8,310"
5101,"7,225"
5103,"22,650"
5105,"10,019"
5107,"16,568"
5109,"10,171"
5111,"22,965"
5113,"19,221"
5115,"63,381"
5117,"8,282"
5119,"399,125"
5121,"18,571"
5123,"23,090"
5125,"123,416"
5127,"9,836"
5129,"7,828"
5131,"127,799"
5133,"15,839"
5135,"17,271"
5137,"12,359"
5139,"39,054"
5141,"15,796"
5143,"245,871"
5145,"76,822"
5147,"6,269"
5149,"20,263"
6000,"39,538,223"
6001,"1,682,353"
6003,"1,204"
6005,"40,474"
6007,"211,632"
6009,"45,292"
6011,"21,839"
6013,"1,165,927"
6015,"27,743"
6017,"191,185"
6019,"1,008,654"
6021,"28,917"
6023,"136,463"
6025,"179,702"
6027,"19,016"
6029,"909,235"
6031,"152,486"
6033,"68,163"
6035,"32,730"
6037,"10,014,009"
6039,"156,255"
6041,"262,321"
6043,"17,131"
6045,"91,601"
6047,"281,202"
6049,"8,700"
6051,"13,195"
6053,"439,035"
6055,"138,019"
6057,"102,241"
6059,"3,186,989"
6061,"404,739"
6063,"19,790"
6065,"2,418,185"
6067,"1,585,055"
6069,"64,209"
6071,"2,181,654"
6073,"3,298,634"
6075,"873,965"
6077,"779,233"
6079,"282,424"
6081,"764,442"
6083,"448,229"
6085,"1,936,259"
6087,"270,861"
6089,"182,155"
6091,"3,236"
6093,"44,076"
6095,"453,491"
6097,"488,863"
6099,"552,878"
6101,"99,633"
6103,"65,829"
6105,"16,112"
6107,"473,117"
6109,"55,620"
6111,"843,843"
6113,"216,403"
6115,"81,575"
8000,"5,773,714"
8001,"519,572"
8003,"16,376"
8005,"655,070"
8007,"13,359"
8009,"3,506"
8011,"5,650"
8013,"330,758"
8014,"74,112"
8015,"19,476"
8017,"1,748"
8019,"9,397"
8021,"7,461"
8023,"3,499"
8025,"5,922"
8027,"4,704"
8029,"31,196"
8031,"715,522"
8033,"2,326"
8035,"357,978"
8037,"55,731"
8039,"26,062"
8041,"730,395"
8043,"48,939"
8045,"61,685"
8047,"5,808"
8049,"15,717"
8051,"16,918"
8053,788
8055,"6,820"
8057,"1,379"
8059,"582,910"
8061,"1,446"
8063,"7,087"
8065,"7,436"
8067,"55,638"
8069,"359,066"
8071,"14,555"
8073,"5,675"
8075,"21,528"
8077,"155,703"
8079,865
8081,"13,292"
8083,"25,849"
8085,"42,679"
8087,"29,111"
8089,"18,690"
8091,"4,874"
